test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,insert_bytes,setup,setup_bytes,vl,total_time
ofs-update,0,1,0,1,4096,131072,3,2,4096,8.770528,2154332544.000000,4.957674,1615383168.000000,0,0,4096.000000,72.442536
ofs-update,0,1,0,1,4096,32,3,2,0,0,0,0,0,0.010898,14880.000000,0,0.030617
ofs-update,0,1,0,1,4096,32,3,2,16,0.009107,289632.000000,0.009123,158016.000000,0,0,16.000000,0.030617
ofs-update,0,1,0,1,4096,256,3,2,0,0,0,0,0,0.074633,8425296.000000,0,0.211552
ofs-update,0,1,0,1,4096,256,3,2,16,0.031028,2207648.000000,0.031319,1156384.000000,0,0,16.000000,0.211552
ofs-update,0,1,0,1,4096,256,3,2,128,0.034412,2211008.000000,0.037523,2220128.000000,0,0,128.000000,0.211552
ofs-update,1,1,0,1,128,2048,3,2,0,0,0,0,0,0.256284,3320400.000000,0,0.879415
ofs-update,1,1,0,1,128,2048,3,2,16,0.165664,1467168.000000,0.187835,1005920.000000,0,0,16.000000,0.879415
ofs-update,1,1,0,1,128,2048,3,2,128,0.064021,850048.000000,0.063684,546464.000000,0,0,128.000000,0.879415
ofs-update,1,1,0,1,128,2048,3,2,1024,0.067494,849088.000000,0.068949,842848.000000,0,0,1024.000000,0.879415
ofs-update,1,1,0,1,128,16384,3,2,0,0,0,0,0,1.728783,26146896.000000,0,3.154334
ofs-update,1,1,0,1,128,16384,3,2,16,0.399628,2738400.000000,0.262812,1267360.000000,0,0,16.000000,3.154334
ofs-update,1,1,0,1,128,16384,3,2,128,0.121948,5191456.000000,0.118816,2849888.000000,0,0,128.000000,3.154334
ofs-update,1,1,0,1,128,16384,3,2,1024,0.129190,5199136.000000,0.125362,5187616.000000,0,0,1024.000000,3.154334
ofs-update,1,1,0,1,128,16384,3,2,4096,0.132015,5210656.000000,0.126086,5195776.000000,0,0,4096.000000,3.154334
ofs-update,1,1,0,1,128,131072,3,2,0,0,0,0,0,12.805747,347793024.000000,0,16.188714
ofs-update,1,1,0,1,128,131072,3,2,16,0.487698,3685536.000000,0.332785,2319168.000000,0,0,16.000000,16.188714
ofs-update,1,1,0,1,128,131072,3,2,128,0.520419,55109760.000000,0.294978,27913920.000000,0,0,128.000000,16.188714
ofs-update,1,1,0,1,128,131072,3,2,1024,0.418595,55109280.000000,0.321454,27925920.000000,0,0,1024.000000,16.188714
ofs-update,1,1,0,1,128,131072,3,2,4096,0.521811,73938560.000000,0.448956,55116960.000000,0,0,4096.000000,16.188714
ofs-update,1,1,0,1,128,1048576,3,2,0,0,0,0,0,107.511986,2783695488.000000,0,114.439009
ofs-update,1,1,0,1,128,1048576,3,2,16,0.793573,6891328.000000,0.567714,4123904.000000,0,0,16.000000,114.439009
ofs-update,1,1,0,1,128,1048576,3,2,128,1.110782,132106656.000000,0.833506,7132288.000000,0,0,128.000000,114.439009
ofs-update,1,1,0,1,128,1048576,3,2,1024,1.031888,251951296.000000,0.700544,126567488.000000,0,0,1024.000000,114.439009
ofs-update,1,1,0,1,128,1048576,3,2,4096,1.059774,251972416.000000,0.639008,126555968.000000,0,0,4096.000000,114.439009
ofs-update,1,1,0,1,128,8388608,3,2,0,0,0,0,0,884.105404,22274878080.000000,0,898.270655
ofs-update,1,1,0,1,128,8388608,3,2,16,1.038956,13079200.000000,0.815333,7495520.000000,0,0,16.000000,898.270655
ofs-update,1,1,0,1,128,8388608,3,2,128,1.267309,18988320.000000,0.787022,7504160.000000,0,0,128.000000,898.270655
ofs-update,1,1,0,1,128,8388608,3,2,1024,2.933998,1144174400.000000,1.731971,572902240.000000,0,0,1024.000000,898.270655
ofs-update,1,1,0,1,128,8388608,3,2,4096,2.879119,1144163360.000000,1.665880,572921440.000000,0,0,4096.000000,898.270655
ofs-update,1,1,0,1,128,32,3,2,0,0,0,0,0,0.012020,14880.000000,0,0.034410
ofs-update,1,1,0,1,128,32,3,2,16,0.009106,33280.000000,0.011035,31040.000000,0,0,16.000000,0.034410
