test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,insert_bytes,setup,setup_bytes,vl,total_time
ofs-update,0,0,0,1,4096,1048576,3,2,4096,44.200518,7533247920.000000,31.978869,3767138880.000000,0,0,4096.000000,1107.760199
ofs-update,0,0,0,1,4096,32,3,2,0,0,0,0,0,0.005155,14880.000000,0,0.110914
ofs-update,0,0,0,1,4096,32,3,2,16,0.009378,289392.000000,0.010522,150816.000000,0,0,16.000000,0.110914
ofs-update,0,0,0,1,4096,256,3,2,0,0,0,0,0,0.045762,8425296.000000,0,0.465459
ofs-update,0,0,0,1,4096,256,3,2,16,0.035054,2211488.000000,0.027714,1128784.000000,0,0,16.000000,0.465459
ofs-update,0,0,0,1,4096,256,3,2,128,0.034599,2207408.000000,0.036358,2202848.000000,0,0,128.000000,0.465459
ofs-update,0,1,0,1,128,2048,3,2,0,0,0,0,0,0.065501,3320400.000000,0,0.607870
ofs-update,0,1,0,1,128,2048,3,2,16,0.132153,1458048.000000,0.117891,810560.000000,0,0,16.000000,0.607870
ofs-update,0,1,0,1,128,2048,3,2,128,0.049594,841168.000000,0.045879,527504.000000,0,0,128.000000,0.607870
ofs-update,0,1,0,1,128,2048,3,2,1024,0.050027,839968.000000,0.056793,842608.000000,0,0,1024.000000,0.607870
ofs-update,0,1,0,1,128,16384,3,2,0,0,0,0,0,0.369551,26146896.000000,0,1.812059
ofs-update,0,1,0,1,128,16384,3,2,16,0.323786,2671920.000000,0.117600,937840.000000,0,0,16.000000,1.812059
ofs-update,0,1,0,1,128,16384,3,2,128,0.105873,5194096.000000,0.102856,2808368.000000,0,0,128.000000,1.812059
ofs-update,0,1,0,1,128,16384,3,2,1024,0.103851,5203216.000000,0.126946,5185456.000000,0,0,1024.000000,1.812059
ofs-update,0,1,0,1,128,16384,3,2,4096,0.101792,5183056.000000,0.109232,5184736.000000,0,0,4096.000000,1.812059
ofs-update,0,1,0,1,128,131072,3,2,0,0,0,0,0,3.365625,347793024.000000,0,11.056746
ofs-update,0,1,0,1,128,131072,3,2,16,0.369445,3626256.000000,0.197114,1789968.000000,0,0,16.000000,11.056746
ofs-update,0,1,0,1,128,131072,3,2,128,0.424735,55076880.000000,0.275932,27837360.000000,0,0,128.000000,11.056746
ofs-update,0,1,0,1,128,131072,3,2,1024,0.427230,55068240.000000,0.282487,27861840.000000,0,0,1024.000000,11.056746
ofs-update,0,1,0,1,128,131072,3,2,4096,0.545728,73934960.000000,0.429821,55055040.000000,0,0,4096.000000,11.056746
ofs-update,0,1,0,1,128,1048576,3,2,0,0,0,0,0,26.548437,2783695488.000000,0,44.408318
ofs-update,0,1,0,1,128,1048576,3,2,16,0.511411,6790048.000000,0.287014,3350144.000000,0,0,16.000000,44.408318
ofs-update,0,1,0,1,128,1048576,3,2,128,0.903261,132012816.000000,0.517738,6846208.000000,0,0,128.000000,44.408318
